,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
275,Park Haagseweg,3638801,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,VVD
276,Belgiëplein e.o.,3638806,2,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,VVD
277,Nieuw Sloten Noordwest,3638804,2,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,VVD
278,Buurt 9,3637803,2,1,2,2,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,DENK
279,Eendrachtspark,3637804,1,0,2,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,DENK
280,Buurt 8,3637802,1,1,2,2,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,DENK
281,Buurt 6,3637800,2,0,2,2,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,DENK
282,Buurt 7,3637801,2,0,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,DENK
283,Osdorper Binnenpolder,3637900,2,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,PVV
284,Buurt 10,3637901,2,0,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,PVV
285,Wildeman,3638100,2,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,DENK
286,Meer en Oever,3638101,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,DENK
287,Osdorpplein e.o.,3638102,2,0,1,1,1,1,1,2,1,1,0,1,1,1,0,0,0,1,1,1,DENK
288,Calandlaan/Lelylaan,3638103,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,DENK
289,Osdorp Zuidoost,3638104,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,DENK
290,Osdorp Midden Noord,3638200,2,0,1,2,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,DENK
291,Osdorp Midden Zuid,3638201,2,1,1,2,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,DENK
292,Zuidwestkwadrant Osdorp Zuid,3638203,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,DENK
293,Zuidwestkwadrant Osdorp Noord,3638202,2,2,1,2,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,DENK
294,Bedrijvencentrum Osdorp,3638301,2,0,1,2,1,0,1,1,0,1,0,1,2,0,0,0,0,2,0,1,DENK
295,De Punt,3638300,2,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,DENK
296,Vondelpark Oost,3634708,2,0,2,0,1,1,1,1,0,0,1,0,1,1,2,1,0,1,1,1,VVD
297,P.C. Hooftbuurt,3634701,2,0,2,0,1,1,1,1,1,1,1,1,1,0,2,1,2,1,0,1,VVD
298,Concertgebouwbuurt,3634702,2,0,2,0,1,1,1,1,1,1,1,1,1,0,2,1,2,1,0,1,VVD
299,Museumplein,3634707,2,0,2,0,1,1,0,0,0,1,0,0,2,0,2,1,2,2,0,1,VVD
300,Johannnes Vermeerbuurt,3634700,2,0,2,0,1,1,1,0,1,1,1,1,1,1,2,1,2,1,0,1,VVD
301,Duivelseiland,3634709,1,0,2,0,1,2,1,1,1,1,1,1,1,0,2,1,2,1,0,1,VVD
302,Hondecoeterbuurt,3634705,2,0,2,0,1,1,1,1,1,1,1,1,1,0,2,1,2,1,0,1,VVD
303,Cornelis Schuytbuurt,3634703,2,0,2,0,1,1,1,1,1,1,1,1,1,0,2,1,2,1,1,1,VVD
304,Banpleinbuurt,3634704,2,0,2,0,1,1,1,0,1,0,1,0,0,1,2,2,2,1,1,1,VVD
305,Harmoniehofbuurt,3634706,2,0,2,0,1,1,1,1,1,0,1,0,0,1,2,1,2,1,0,1,VVD
306,Frans Halsbuurt,3632402,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,0,1,D66
307,Gerard Doubuurt,3632401,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,D66
308,Hercules Seghersbuurt,3632403,1,0,2,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,D66
309,Sarphatiparkbuurt,3632404,1,0,2,1,1,1,2,2,2,2,2,2,2,0,1,1,1,1,0,1,D66
310,Hemonybuurt,3632400,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,0,1,D66
311,Cornelis Troostbuurt,3632503,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,D66
312,Lizzy Ansinghbuurt,3632502,1,0,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,0,1,D66
313,Van der Helstpleinbuurt,3632501,1,0,2,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,D66
314,Willibrordusbuurt,3632500,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,D66
315,Burgemeester Tellegenbuurt West,3632602,2,0,2,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,GROENLINKS
316,Burgemeester Tellegenbuurt Oost,3632601,2,0,2,0,1,2,1,1,1,1,1,1,1,0,0,1,1,1,0,0,GROENLINKS
317,Diamantbuurt,3632600,2,0,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,GROENLINKS
318,VU-kwartier,3632302,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1,1,1,0,1,VVD
319,Zuidas Noord,3632300,1,2,1,0,1,0,2,1,1,1,0,1,2,0,2,1,1,1,0,1,VVD
320,RAI,3632301,2,2,1,0,1,1,0,1,1,0,0,0,1,0,2,1,1,1,0,1,VVD
321,Zuidas Zuid,3632303,1,2,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,VVD
322,Vivaldi,3632304,2,2,1,0,1,0,1,0,0,0,1,0,2,0,2,0,1,1,0,1,VVD
323,Willemsparkbuurt Noord,3634602,2,0,2,0,0,1,2,1,1,1,1,1,1,0,2,2,2,1,1,1,VVD
324,Valeriusbuurt Oost,3634600,2,0,2,0,0,1,1,0,1,0,1,0,1,1,2,1,2,1,1,1,VVD
325,Valeriusbuurt West,3634601,2,0,2,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,VVD
326,Vondelpark West,3634603,2,0,2,0,0,1,1,1,1,0,1,0,1,1,2,1,2,1,0,1,VVD
